web-scraper-order,web-scraper-start-url,title,author,content,image-src
1718043136-6,https://www.editorialedomani.it/politica/italia,"Elezioni europee, la lista di tutti gli italiani eletti all’Europarlamento, partito per partito",,,https://immagini.editorialedomani.it/version/c:ZjhjMGE4MDgtNTE2MS00:YmYyZmU4ZmQtZWFkNi00/belgium-european-elections.webp?f=4%3A3&q=0.75&w=225
1718043136-7,https://www.editorialedomani.it/politica/italia,"Ilaria Salis, ai domiciliari in Ungheria, eletta al parlamento Ue: cosa succede ora e come funziona l’immunità",,,https://immagini.editorialedomani.it/version/c:NTljMTk4ZDctN2ZiZC00:ZjlkMjUyODgtNDFiMC00/torino-festa-chiusura-campagna-elettorale-avs.webp?f=4%3A3&q=0.75&w=225
1718043136-8,https://www.editorialedomani.it/politica/italia,"Europee, Tajani: «Iniziamo a costruire centro di gravità permanente della politica italiana»",,,https://immagini.editorialedomani.it/version/c:NmVlNzI1OWUtNTdjZS00:YzIzNTkxN2QtY2E4OS00/image.webp?f=4%3A3&q=0.75&w=225
1718043136-9,https://www.editorialedomani.it/politica/italia,Il messaggio delle urne in Italia e in Europa: cosa può succedere ora,,,https://immagini.editorialedomani.it/version/c:NGJlODhhMDUtNmQ2YS00:MjFlZTk0YmMtZjhiNS00/image.webp?f=4%3A3&q=0.75&w=225
1718043136-10,https://www.editorialedomani.it/politica/italia,"Calenda: ""Una sconfitta che non ci aspettavamo. Penalizzati dalla polarizzazione""",,,https://immagini.editorialedomani.it/version/c:MjI3MDY2ODYtMTUzMC00:YWMxYTEwYTctNmZkMy00/image.webp?f=4%3A3&q=0.75&w=225
1718043136-11,https://www.editorialedomani.it/politica/italia,Schlein: «Per noi è un risultato straordinario. Il Pse tiene e non sarà possibile alcuna maggioranza senza di questo in Europa»,,,https://immagini.editorialedomani.it/version/c:ZTk2YjAyZDYtOTY4MS00:YmI5MzZkZjMtOTVkZS00/image.webp?f=4%3A3&q=0.75&w=225
1718043136-12,https://www.editorialedomani.it/politica/italia,"Comunali, il centrosinistra vince a Cagliari e Bergamo. Bari e Firenze al ballottaggio",Lorenzo Stasi,,
1718043136-13,https://www.editorialedomani.it/politica/italia,Salvini: «Spero in un centrodestra unito e compatto in Europa»,,,
1718043136-14,https://www.editorialedomani.it/politica/italia,"Fratelli d’Italia non vince a Caivano, e Sgarbi fa flop al Sud",Stefano Iannaccone,,
1718043136-15,https://www.editorialedomani.it/politica/italia,"Parte la corsa per il Veneto, Donazzan (FdI) vola e si impone per il dopo Zaia",Giulia Merlo,,
1718043136-16,https://www.editorialedomani.it/politica/italia,"Renzi batte Calenda con le preferenze, ma perdono entrambi",Stefano Iannaccone,,
1718043136-17,https://www.editorialedomani.it/politica/italia,Il voto dei fuorisede premia Avs e Partito democratico. Male i partiti di governo,Lorenzo Stasi,,
1718043136-18,https://www.editorialedomani.it/politica/italia,"I pacifisti scelgono Avs. Male Santoro, Conte, Lega e Tarquinio",Lisa Di Giuseppe,,
1718043136-19,https://www.editorialedomani.it/politica/italia,"Il Pd è la delegazione più forte nel Pse, secondi gli spagnoli del Psoe",Lisa Di Giuseppe,,
1718043136-20,https://www.editorialedomani.it/politica/italia,Tajani vince il derby con la Lega e diventa il principale interlocutore di Meloni,Giulia Merlo,,
1718043136-21,https://www.editorialedomani.it/politica/italia,"Elezioni europee, Fratoianni: ""Ilaria Salis è un'europarlamentare""",,,
